[18:44:30] [main/INFO]: ModLauncher running: args [--username, ERROR__405, --version, forge-47.4.0, --gameDir, C:\Users\Philipp\curseforge\minecraft\Instances\Test el3, --assetsDir, C:\Users\Philipp\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 2fb773a4b48b46ab95391fa4228635ac, --accessToken, ????????, --clientId, 108be9b-24cca1-e80062-585bc1-c4490e, --xuid, 2535463454478930, --userType, msa, --versionType, release, --width, 1920, --height, 1080, --launchTarget, forgeclient, --fml.forgeVersion, 47.4.0, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[18:44:30] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Eclipse Adoptium; OS Windows 11 arch amd64 version 10.0
[18:44:42] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[18:44:43] [main/INFO]: Trying GL version 4.6
[18:44:43] [main/INFO]: Requested GL version 4.6 got version 4.6
[18:44:43] [main/INFO]: Mixin Transmogrifier is definitely up to no good...
[18:44:43] [main/INFO]: crimes against java were committed
[18:44:43] [main/INFO]: Original mixin transformation service successfully crobbed by mixin-transmogrifier!
[18:44:43] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Philipp/curseforge/minecraft/Instances/Test%20el3/mods/Connector-1.0.0-beta.46+1.20.1.jar%23375%23378!/ Service=ModLauncher Env=CLIENT
[18:44:43] [pool-2-thread-1/INFO]: GL info: AMD Radeon(TM) Graphics GL version 4.6.0 Core Profile Context 25.8.1.250617, ATI Technologies Inc.
[18:44:44] [main/INFO]: Found mod file athena-forge-1.20.1-3.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file baguettelib-1.20.1-Forge-1.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file balm-forge-1.20.1-7.3.36-all.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file beautifiedchatclient-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file bellsandwhistles-0.4.5-1.20.x-Create6.0+.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file BetterTotemOfUndying-Forge-1.20.4-2.1.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file Bookshelf-Forge-1.20.1-20.2.13.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file botarium-forge-1.20.1-2.3.4.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file BrandonsCore-1.20.1-3.2.1.302-universal.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file BuildingWands-mc1.20.1-2.6.9-release.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file camping-forge-1.20.1-2.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file CarbonConfig-1.20-1.2.8.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file carryon-forge-1.20.1-2.1.2.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:44] [main/INFO]: Found mod file CerbonsAPI-Forge-1.20.1-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file chat_heads-0.14.0-forge-1.20.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file chipped-forge-1.20.1-3.0.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file chisel_chipped_integration-v1.1.6-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file Chunk-Pregenerator-1.20-4.4.4.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file cloth-config-11.1.136-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file Clumps-forge-1.20.1-12.0.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file CodeChickenLib-1.20.1-4.4.0.516-universal.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file collective-1.20.1-8.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file compacthelpcommand-1.20.1-2.8.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file Controlling-forge-1.20.1-12.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file coroutil-forge-1.20.1-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file craftingtweaks-forge-1.20.1-18.2.6.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file CraftTweaker-forge-1.20.1-14.0.59.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file Create Encased-1.20.1-1.7.2-fix1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create-1.20.1-6.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create-mob-spawners-1.20.1-3.2.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create-new-age-forge-1.20.1-1.1.4.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create_central_kitchen-1.20.1-for-create-6.0.6-1.4.3b.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create_connected-1.1.7-mc1.20.1-all.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create_enchantment_industry-1.3.3-for-create-6.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create_mecanical_extruder-1.20.1-1.6.11-6.0.6.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create_power_loader-2.0.3-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file create_recycle_1.0.2_forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file createaddition-1.20.1-1.3.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file createaddoncompatibility-0.2.4.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file createdeco-2.0.3-1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file createframed-1.20.1-1.6.5.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file creategoggles-1.20.1-6.1.0-[FORGE].jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file CreateNumismatics-1.0.15+forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file createrailwaysnavigator-forge-1.20.1-beta-0.8.4-C6.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file cupboard-1.20.1-2.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file curios-forge-5.14.1+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file dcintegration-forge-3.0.7.1-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file DimWorldBorder-Continuation-1.20.1-1.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file DistantHorizons-2.3.4-b-1.20.1-fabric-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file Draconic-Evolution-1.20.1-3.1.2.621-universal.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file DrawersTooltip-1.20.1-forge-8.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file drippyloadingscreen_forge_3.0.12_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file dynamic-fps-3.9.5+minecraft-1.20.0-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file e4mc_minecraft-forge-5.4.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file easy-villagers-forge-1.20.1-1.1.23.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file easyelytratakeoff-1.20.1-4.5.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file embeddium-0.3.31+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file emi-1.1.22+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file emi-letsdo-compat-1.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file emi_create_schematics-1.0.3.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file emi_loot-0.7.6+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file emi_ores-1.2+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file EMIEnchants-forge-1.19.3-1.20.4-1.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file emiffect-forge-1.1.2+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file emitrades-forge-1.2.1+mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file entity_model_features_1.20.1-forge-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file entity_texture_features_1.20.1-forge-7.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file entityculling-forge-1.8.2-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file EquipmentCompare-1.20.1-forge-1.3.7.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file ExtendedAE-1.20-1.4.7-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file fabric-api-0.92.6+1.11.14+1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file fancymenu_forge_3.7.0_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file FarmersDelight-1.20.1-1.2.9.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file fast-ip-ping-v1.0.7-mc1.20.4-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file fastboot-1.20.x-1.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file FastLeafDecay-32.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file FastSuite-1.20.1-5.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file ferritecore-6.0.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file FluidDrawersLegacy-1.20.1-forge-5.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file FluxNetworks-1.20.1-7.2.1.15.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file framedcompactdrawers-1.20-6.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file freecam-forge-1.2.1+1.20.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file ftb-library-forge-2001.2.10.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file ftb-quests-forge-2001.4.14.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file ftb-teams-forge-2001.3.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file ftb-xmod-compat-forge-2.1.3.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file ftbbackups2-forge-1.20-1.0.23.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file fusion-1.2.11a-forge-mc1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file fzzy_config-0.7.2+1.20.1+forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file GameStages-Forge-1.20.1-15.0.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file geckolib-forge-1.20.1-4.8.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file Glodium-1.20-1.5-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file gravestone-forge-1.20.1-1.0.33.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file gravestonecurioscompat-1.20.x-Forge-3.0.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file guideme-20.1.13.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file Iceberg-1.20.1-forge-1.1.25.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file ImmediatelyFast-Forge-1.5.2+1.20.4.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file immersive_aircraft-1.4.0+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file integrated_api-1.5.3+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file integrated_stronghold-1.1.2+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file integrated_villages-1.3.0+1.20.1-forge.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file interiors-0.5.6+forge-mc1.20.1-local.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file item-filters-forge-2001.1.0-build.59.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file Jade-1.20.1-Forge-11.13.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file JadeAddons-1.20.1-Forge-5.5.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file jearchaeology-1.20.1-1.0.4.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file jei-1.20.1-forge-15.20.0.112.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file JustEnoughBeacons-Forge-1.19+-1.1.2.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file justenoughbreeding-forge-1.20-1.20.1-2.2.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file JustEnoughMekanismMultiblocks-1.20.1-4.14.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file JustEnoughProfessions-forge-1.20.1-3.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file justzoom_forge_2.1.1_MC_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file KeeperOfInventories-1.20.1-v1.0.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file keybindbundles-1.20.1-1.1.0.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file konkrete_forge_1.8.0_MC_1.20-1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file kotlinforforge-4.11.0-all.jar of type LIBRARY with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file kubejs-create-forge-2001.3.0-build.8.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
[18:44:45] [main/INFO]: Found mod file kubejs-forge-2001.6.5-build.16.jar of type MOD with provider {mods folder locator at C:\Users\Philipp\curseforge\minecraft\Instances\Test el3\mods}
